STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,REF_AREA,Reference area,ACTIVITY,Economic activity,COUNTERPART_AREA,Counterpart area,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,POL,Poland,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,4374.025,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,DNK,Denmark,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,2730.601,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,TUR,Türkiye,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,1054.19,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,SWE,Sweden,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,2580.018,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,CZE,Czechia,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,4781.782,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,FIN,Finland,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,3766.862,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,NOR,Norway,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,1331.048,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,LTU,Lithuania,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,152.471,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,CHN,China (People’s Republic of),C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,412446.477,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,GRC,Greece,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,352.457,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,BRA,Brazil,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,620.268,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,PRT,Portugal,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,1251.43,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,IRL,Ireland,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,7456.392,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,CHE,Switzerland,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,18779.653,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,HUN,Hungary,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,3946.928,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,BGR,Bulgaria,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,390.544,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,MEX,Mexico,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,27086.253,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,SVN,Slovenia,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,414.24,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,BLR,Belarus,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,373.485,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,EGY,Egypt,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,267.578,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,HRV,Croatia,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,145.859,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,NZL,New Zealand,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,165.411,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,SVK,Slovak Republic,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,1060.431,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,ISR,Israel,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,8258.97,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,EST,Estonia,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,486.286,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,ARG,Argentina,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,119.292,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,LVA,Latvia,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,252.701,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,HKG,Hong Kong (China),C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,501.504,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,CYP,Cyprus,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,19.901,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,LUX,Luxembourg,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,56.657,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,BGD,Bangladesh,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,29.628,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,COL,Colombia,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,128.653,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,EU15,European Union (15 countries),C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,92511.503,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,EU28XEU15,European Union 28 excluding European Union 15 countries,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,17162.886,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,CRI,Costa Rica,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,88.925,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,CIV,Côte d’Ivoire,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,KHM,Cambodia,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,0.087,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,CMR,Cameroon,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,1.756,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,EA19,Euro area (19 countries),C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,95887.508,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,ISL,Iceland,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,2.613,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,EU27_2020,European Union (27 countries from 01/02/2020),C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,95244.607,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,EU28,European Union (28 countries),C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,89693.519,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,AGO,Angola,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,5.565,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,COD,Democratic Republic of the Congo,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,0.12,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,OECD,OECD,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,275867.846,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,BRN,Brunei Darussalam,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,0.384,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,WXOECD,Non-OECD economies,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,455647.289,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,G20,G20,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2020,,268039.207,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,STP,Sao Tome and Principe,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,0.046,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,G20,G20,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,253270.269,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,WXOECD,Non-OECD economies,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,432875.347,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,TUN,Tunisia,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,348.703,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,OECD,OECD,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,312612.715,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,BRN,Brunei Darussalam,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,0.466,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,NZL,New Zealand,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,185.202,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,COD,Democratic Republic of the Congo,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,0.168,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,EU28,European Union (28 countries),C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,100475.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,LAO,Lao People’s Democratic Republic,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,4.019,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,EU27_2020,European Union (27 countries from 01/02/2020),C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,109084.419,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,AGO,Angola,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,22.412,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,SEN,Senegal,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,0.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,CIV,Côte d’Ivoire,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,0.001,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,CMR,Cameroon,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,4.515,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,EA19,Euro area (19 countries),C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,110416.138,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,NGA,Nigeria,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,7.509,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,KHM,Cambodia,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,0.088,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,JOR,Jordan,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,5.117,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,KAZ,Kazakhstan,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,71.663,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,EU28XEU15,European Union 28 excluding European Union 15 countries,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,18305.295,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,MLT,Malta,C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,109.787,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, levels",I,EXGR_DVA,Domestic value added in gross exports,EU15,European Union (15 countries),C26,"Manufacture of computer, electronic and optical products",W,World,USD,US dollar,A,Annual,2018,,105247.505,,6,Millions
